stimulus,memorability,scaled_memory_hits,score_emotional,sd_emotional,score_humanmade,sd_humanmade,score_outdoors,sd_outdoors,score_shoebox,sd_shoebox,humanmade_pass,outdoors_pass,shoebox_pass,humanmade_response,outdoors_response,shoebox_response,scaled_emotional,h_index,modal_response,proportion_response,unique,scaled_name,dist,assignedName
Candy_Heart.jpg,0.086720517,0.801373784,0.734379914,1.222131553,1,0,0.125,0.353553391,0.714285714,0.487950036,1,1,0,human-made,indoors,NA,0.894797027,1.544950817,heart,0.666666667,1,0.565465981,0.5956100524130843,5_94.jpg
GasBurner.jpg,-0.056703022,0.266170578,-0.217820066,0.606612759,1,0,0.285714286,0.487950036,0.625,0.51754917,1,0,0,human-made,NA,NA,0.40651801,1.902174814,burner,0.615384615,0,0.439108062,0.5988063405728672,5_2.jpg
Box_Floral.jpg,-0.058502193,0.262736119,-0.209783286,0.232300241,1,0,0,0,0.6,0.547722558,1,1,0,human-made,indoors,NA,0.412807318,1.146483407,box,0.774193548,0,0.71240709,0.6028317763070812,5_221.jpg
Candy_Lozenge.jpg,0.015843817,0.541499714,-0.046453646,0.862804112,1,0,0.038461538,0.196116135,1,0,1,1,1,human-made,indoors,smaller than a shoebox,0.53516295,1.898093374,candy,0.588235294,0,0.441395083,0.6046727593437824,5_31.jpg
Glove_Baseball.jpg,-0.031950916,0.352604465,-0.539001265,0.392331346,1,0,0.888888889,0.333333333,0.3,0.483045892,1,1,0,human-made,outdoors,NA,0.145797599,2.80869497,baseball glove,0.3,1,0.152086907,0.6076779676831252,5_177.jpg
Carabiner_Orange.jpg,0.075486162,0.765884373,-0.359819114,0.748790078,1,0,0.166666667,0.40824829,1,0,1,1,1,human-made,indoors,smaller than a shoebox,0.293310463,3.251629167,hook,0.166666667,0,0.060606061,0.6103878467296824,5_33.jpg
MetalChain.jpg,0.084805568,0.795077275,-0.103866723,0.886204476,1,0,0.375,0.51754917,0.875,0.353553391,1,0,1,human-made,NA,smaller than a shoebox,0.506575186,1.47938521,chain,0.740740741,0,0.595197256,0.6131058269194736,5_204.jpg
IceCubes.jpg,0.142262695,0.934745278,-0.025393394,0.62648731,0.25,0.46291005,0,0,0.857142857,0.377964473,0,1,1,NA,indoors,smaller than a shoebox,0.558604917,0.834347023,ice cubes,0.823529412,0,0.810748999,0.6149793253356686,5_10.jpg
BakingDish.jpg,-0.235509276,0.020034345,-0.539001265,0.392331346,1,0,0.125,0.353553391,0.555555556,0.527046277,1,1,0,human-made,indoors,NA,0.145797599,1.81366069,pan,0.64,0,0.472269868,0.6171336028306591,5_111.jpg
Toad.jpg,0.164534394,0.961076131,1.321505753,0.384502157,0,0,0.857142857,0.377964473,0.875,0.353553391,1,1,1,natural,outdoors,smaller than a shoebox,0.973699257,1.253297578,frog,0.529411765,1,0.672955975,0.6213125766897207,5_210.jpg
Crown.jpg,0.087116157,0.802518603,0.527840163,0.694810548,1,0,0.375,0.51754917,0.666666667,0.516397779,1,0,0,human-made,NA,NA,0.837621498,0.15374218,crown,0.977777778,1,0.993710692,0.6251595918587998,5_34.jpg
Puffin.jpg,-0.002710153,0.465941614,0.737973892,1.341304028,0.111111111,0.333333333,0.88,0.331662479,0.625,0.51754917,1,1,0,natural,outdoors,NA,0.897084048,1.835336213,bird,0.6,0,0.459691252,0.6276099119941851,5_112.jpg
Magnet_Three.jpg,0.1198342,0.891814539,-0.331957339,0.33909493,1,0,0.285714286,0.487950036,1,0,1,0,1,human-made,NA,smaller than a shoebox,0.315608919,2.208410187,three,0.592592593,1,0.329902802,0.6283033888394802,5_63.jpg
TigerWhite.jpg,0.15616988,0.951917573,0.525033304,1.436124757,0.111111111,0.333333333,1,0,0,0,1,1,1,natural,outdoors,larger than a shoebox,0.836477987,0.699029963,tiger,0.882352941,1,0.849056604,0.6307491591220906,5_193.jpg
Platter_Vegetables.jpg,0.069113508,0.74127075,1.391396703,0.503137864,0.5,0.527046277,0,0,0.285714286,0.487950036,0,1,0,NA,indoors,NA,0.977701544,3.783014003,veggie tray,0.171428571,1,0.01086335,0.6326861210264099,5_234.jpg
MobilityScooter.jpg,0.017611308,0.550085861,0.002412088,1.035972994,1,0,1,0,0,0,1,1,1,human-made,outdoors,larger than a shoebox,0.57518582,2.915084952,scooter,0.4,0,0.123499142,0.6343793553907999,5_56.jpg
Candelabra.jpg,-0.012935824,0.419576417,-0.620110024,0.196227044,1,0,0.25,0.46291005,0,0,1,0,1,human-made,NA,larger than a shoebox,0.093196112,1.496927546,candelabra,0.529411765,1,0.581475129,0.6370128871493999,5_157.jpg
PyramidWooden.jpg,0.054637771,0.684602175,-0.730819628,0.541562643,1,0,0.375,0.51754917,0.625,0.51754917,1,0,0,human-made,NA,NA,0.033733562,1.09753784,pyramid,0.777777778,0,0.733562035,0.6382487582053014,5_195.jpg
Toy_Boat.jpg,-0.026241642,0.37034917,-0.198883482,0.755439586,1,0,0.142857143,0.377964473,1,0,1,1,1,human-made,indoors,smaller than a shoebox,0.42595769,1.388530811,toy boat,0.565217391,1,0.627215552,0.6435106304805156,5_72.jpg
Switch_LightBlack.jpg,-0.042400127,0.312535776,-0.200730265,0.536890424,1,0,0.222222222,0.440958552,1,0,1,0,1,human-made,NA,smaller than a shoebox,0.422527158,0.743283939,light switch,0.857142857,0,0.835906232,0.646460893464579,5_102.jpg
CandleSnuffer.jpg,0.043099005,0.650829994,-0.380883265,0.822935908,1,0,0.192307692,0.401918476,0.571428571,0.534522484,1,1,0,human-made,indoors,NA,0.27787307,2.841446071,candle snuffer,0.25,1,0.143510577,0.6487927453176443,5_66.jpg
Statue_Jesus.jpg,-0.004839225,0.457355467,0.227741995,1.120514033,1,0,0.833333333,0.40824829,0,0,1,1,1,human-made,outdoors,larger than a shoebox,0.708404803,2.023265224,statue,0.542857143,0,0.393939394,0.6511635082685778,5_237.jpg
Hoverboard.jpg,0.10039075,0.835145965,-0.205654377,0.664048609,1,0,0.833333333,0.40824829,0.285714286,0.487950036,1,1,0,human-made,outdoors,NA,0.417381361,2.146439345,hoverboard,0.4,1,0.345340194,0.6547056281654979,5_135.jpg
